brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Shari Candies,Atomic Fire Balls,51db37bd176fe9790a898ec0,51c3ba4297c3e6d8d3b46021,73380360576,2,null,"Sucrose, Contains Less than 2% of the Following: Modified Food Starch, Artificial Flavor, Carnauba Wax, Gum Acacia, Color Added, Red 40 Lake.",60,0,0,0,0,null,null,0,0,17,0,16,0,0,0,0,0,null,8,3,pieces,18,18,g,null,2014-11-24T20:24:24+00:00,null
Live G Free,"Gluten Free Multiseed Snack Crackers, Sea Salt",547cd5d7e1f1478767ca0ddf,5518c24f952b050265229c05,11000006794,2,null,null,130,45,5,0.5,0,null,null,0,120,19,1,3,2,0,0,0,0,null,4,13,crackers,null,null,g,https://d1r9wva3zcpswd.cloudfront.net/5518c2de69492df3166d9cf7.jpeg,2015-03-30T03:28:30+00:00,null
Natural Value,"White Popcorn, Organic",51db37b1176fe9790a8984af,5563f053e7b5a25f68ddae41,706173013525,2,null,null,180,20,2.5,0,0,null,null,0,0,36,6,0,6,0,0,0,6,null,18,0.25,cup,50,50,g,https://d1r9wva3zcpswd.cloudfront.net/5563f0d1e7b5a25f68ddae5e.jpeg,2015-05-26T04:04:33+00:00,null
Fischer's,"Bologna, Thick Sliced W/Turkey, Chicken & Pork",51db37b6176fe9790a89894e,51c3c22797c3e6d8d3b49cf3,90046806407,2,"Thick Sliced W/Turkey, Chicken & Pork","Mechanically Separated Turkey, Mechanically Separated Chicken, Pork, Water, Corn Syrup, Salt, Contains Less Than 2% of Flavorings, Modified Food Starch, Dextrose, Sodium Lactate, Sodium Phosphate, Beef, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Extract of Paprika",150,110,12,4,0,null,null,30,500,2,0,1,6,0,0,2,2,null,8,56,G,56,56,g,null,2014-11-24T20:24:24+00:00,null
Devon Cream,Chocolate Digestive,51db37e8176fe9790a89a771,559d15265d4d528a0d7913d0,40032002016,2,null,null,120,60,6,3.5,1,null,null,0,40,14,0,7,1,0,0,2,4,null,null,1,pack,22,22,g,https://d1r9wva3zcpswd.cloudfront.net/559d16a4a65f560f3cf48883.jpeg,2015-07-08T12:25:08+00:00,null
La Preferida,"Enchilada Sauce, Hot Red Chili 10 Oz",51db37bc176fe9790a898dfa,51c5430b97c3e6efadd5cc20,30684901843,2,Hot Red Chili 10 Oz,"Water, Red Chili Paste, Wheat Flour, Canola Oil Or Partially Hydrogenated Canola Oil, Salt, Tomato Paste, Spices, Caramel Color, Garlic Powder, Red Color #40, Citric Acid.",80,45,5,1,null,null,null,0,440,12,5,2,2,100,10,2,8,null,4,65,G,65,65,g,null,2014-11-24T20:24:24+00:00,null
Eureka!,Seeds The Day Organic Bread,545a52135f06a919304affd0,54982dffda5d8d5133d1a3d0,73132031075,2,null,null,90,25,2.5,0,0,1,0.5,0,95,12,2,2,4,0,0,2,4,null,18,1,slice,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/549834bff5cc7db676ece974.jpeg,2014-12-22T15:11:59+00:00,null
Sea Best,Orange Roughy Fillets,51db37b2176fe9790a8985da,550b772addd8540b7be660a8,75391901021,2,null,null,80,0,0,0,0,null,null,55,70,0,0,0,19,10,2,2,10,null,4,1,fillet,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/550b785fee56b14c4386cd56.jpeg,2015-03-20T01:31:12+00:00,null
J. Skinner,"Danish, Amazing Apricot",51db3828176fe9790a89b7c0,55198742ce40f78825458e91,45084223150,2,null,null,170,70,8,3.5,0,null,null,15,190,21,1,9,3,6,0,2,4,null,8,1,slice,50,50,g,https://d1r9wva3zcpswd.cloudfront.net/551987c07e0a3a0f4e6f3046.jpeg,2015-03-30T17:28:32+00:00,null
Del Monte,"Yogurt Raisins, Strawberry Flavor",51db37b0176fe9790a8983ca,51c3c93297c3e6d8d3b4d07d,86831128199,2,null,"Sugar, Raisins, Partially Hydrogenated Palm Kernel Oil, Nonfat Yogurt Powder, Corn Syrup, Dextrin, Maltodextrin, Natural and Artificial Flavor, Soy Lecithin, Confectioner's Glaze, Red 40 Lake, Vanillin (Artificial Flavor), Salt and Ascorbic Acid.",120,50,6,5,null,null,null,0,15,19,1,17,0,0,30,2,2,null,6,1,bag,null,null,null,null,2014-11-24T20:24:24+00:00,null
Crunch Pak,Organic Apple Slices,51db37e4176fe9790a89a56d,5550eb22a8e6cef7380b4f40,73239802,2,null,null,35,0,0,0,0,null,null,0,0,8,0.5,6,0,0,140,4,0,null,null,1,bag,62,62,g,https://d1r9wva3zcpswd.cloudfront.net/5550ec3c136caeb106ff8998.jpeg,2015-05-11T17:51:56+00:00,null
Philadelphia,"Cream Cheese, Fat Free",51db37bc176fe9790a898e3a,51c3651c97c3e69de4b04908,21000612390,2,Fat Free,"Protein Concentrated Skim Milk, Cultured Skim Milk, Skim Milk, Contains Less than 2% of Sodium Tripolyphosphate (Ingredients Not in Regular Cream Cheese), Sugar (Ingredients Not in Regular Cream Cheese),  Xanthan Gum, Pasteurized Milk and Cream (Trivial Source of Fat), Salt,  Artificial Color (Ingredients Not in Regular Cream Cheese), Carrageenan, Potassium Sorbate (Ingredients Not in Regular Cream Cheese), and Calcium Propionate (Ingredients Not in Regular Cream Cheese) as Preservatives, Cheese Culture, Sodium Phosphate (Ingredients in Regular Cream Cheese), Artificial Flavor (Ingredients in Regular Cream Cheese), Carob Bean Gum, Vitamin A Palmitate.",30,0,0,0,0,null,null,5,190,2,0,1,4,8,0,15,0,null,8,1,oz,28,28,g,null,2014-11-24T20:24:24+00:00,null
Tuf,Bread Pudding Mix,51db37e3176fe9790a89a4df,51c357cd97c3e69de4afefea,645001028,2,null,"Sugar, Coconut Oil, Corn Syrup Solids, Egg Yolk Solids, Egg White Solids, Nonfat Dry Milk and/or Sodium Caseinate, Artificial Flavor, Calcium & Potassium Phosphate, Sodium Stearoyl Lactylate, Soy Lecithin, Annatto (Color), Mono & Diglycerides.",150,35,4,3,0,null,null,25,15,29,0,26,1,0,0,0,0,null,16,3,tbsp dry,34,34,g,null,2014-11-24T20:24:24+00:00,null
